bvets vehicle performance table 1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P10P11,P11P12,P12,P13,1,2,3,4,5,6,7,8,9,10,11,12,WF60,1,2,3,4,5,6,7,8,9,WF40,1,2,3,4,5,6,7,8,9,10,11,12,WF10
18,6128,9675,14058,15784,19077,21276,23213,26269,29186,32045,34837,38639,43788,48121,53456,42528,49904,57773,69736,81790,105256,139127,234815,519855,2943420,2293229,1983072,2236819,2128798,2683532,3238266,3793000,4347734,4902468,5457202,6011936,6566670,7121404,7676138,8230871,8785605,9340339,9841227,10342114,10843002,11343889,11844776,12345664,12846551,13347438,13848326,14349213,15272613,16196012,17119412,18042811,18966211,19889610,20813010,21736409,22659809,23583208,24506608,25430007,26353407
20,5834,8924,11863,13089,15993,17694,19351,21932,24350,26350,28009,30779,33942,36362,38997,39405,45975,52821,62800,72275,89705,113840,166970,276371,1847820,2293229,1983072,2236819,2128798,2683532,3238266,3793000,4347734,4902468,5457202,6011936,6566670,7121404,7676138,8230871,8785605,9340339,9841227,10342114,10843002,11343889,11844776,12345664,12846551,13347438,13848326,14349213,15272613,16196012,17119412,18042811,18966211,19889610,20813010,21736409,22659809,23583208,24506608,25430007,26353407
22,5561,8924,9845,10618,13188,14474,15980,18235,20418,21851,22898,24988,26986,28432,29957,36485,42344,48306,56685,64269,77462,95253,127275,181365,437377,2293229,1983072,2236819,2128798,2683532,3238266,3793000,4347734,4902468,5457202,6011936,6566670,7121404,7676138,8230871,8785605,9340339,9841227,10342114,10843002,11343889,11844776,12345664,12846551,13347438,13848326,14349213,15272613,16196012,17119412,18042811,18966211,19889610,20813010,21736409,22659809,23583208,24506608,25430007,26353407
24,5306,8924,8924,8924,10628,11565,13013,15046,17159,18209,18930,20547,21816,22732,23781,33750,38977,44173,51256,57447,67591,81059,101453,132173,224814,596239,1983072,2236819,2128798,2683532,3238266,3793000,4347734,4902468,5457202,6011936,6566670,7121404,7676138,8230871,8785605,9340339,9841227,10342114,10843002,11343889,11844776,12345664,12846551,13347438,13848326,14349213,15272613,16196012,17119412,18042811,18966211,19889610,20813010,21736409,22659809,23583208,24506608,25430007,26353407
26,5067,8924,8924,8924,8924,8924,10381,12268,14414,15202,15762,17035,17825,18440,19299,31183,35849,40377,46408,51568,59473,69887,83408,102475,146340,246573,427018,488777,1145984,1629240,2112496,2595752,3079008,3562264,4045520,4528776,5012032,5495289,5978545,6461801,6945057,7428313,7991614,8554915,9118216,9681517,10244819,10808120,11371421,11934722,12498023,13061324,14083792,15106260,16128728,17151196,18173664,19196132,20218600,21241068,22263535,23286003,24308471,25330939,26353407
28,4844,8924,8924,8924,8924,8924,8924,9827,12072,12677,13175,14189,14652,15093,15898,28770,32935,36880,42052,46452,52685,60880,70129,82730,106558,148734,198480,220951,316848,703243,1089638,1476033,1862428,2248824,2635219,3021614,3408009,3794404,4180799,4567194,4953589,5339984,5959227,6578470,7197712,7816955,8436198,9055440,9674683,10293925,10913168,11532411,12672487,13812564,14952641,16092717,17232794,18372870,19512947,20653024,21793100,22933177,24073254,25213330,26353407
30,4635,8924,8924,8924,8924,8924,8924,8924,10050,10527,11023,11836,12071,12411,13232,26497,30214,33649,38120,41961,46930,53472,59969,68706,82770,104446,125140,137501,170989,530099,889208,1248318,1607428,1966538,2325648,2684758,3043868,3402978,3762087,4121197,4480307,4839417,5469422,6099427,6729432,7359437,7989442,8619446,9249451,9879456,10509461,11139466,12309769,13480072,14650375,15820679,16990982,18161285,19331588,20501891,21672194,22842497,24012801,25183104,26353407
32,4438,8924,8924,8924,8924,8924,8924,8924,8924,8924,9205,9860,9929,10214,11085,24354,27668,30655,34553,37989,41992,47278,51957,58257,67031,79529,89983,98062,114215,180899,247584,314268,380952,447636,514320,581004,647688,714372,781057,847741,914425,981109,1080720,1180332,1279943,1379554,1479166,1578777,1678388,1778000,1877611,1977222,2147175,2317128,2487081,2657034,2826986,2996939,3166892,3336845,3506798,3676751,3846703,4016656,4186609
34,4252,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,9320,22328,25282,27873,31304,34453,37709,42024,45483,50182,55880,63651,69559,75349,84586,109539,134491,159443,184396,209348,234301,259253,284206,309158,334111,359063,384016,408968,442648,476329,510009,543690,577370,611050,644731,678411,712092,745772,798480,851188,903895,956603,1009311,1062019,1114726,1167434,1220142,1272850,1325557,1378265,1430973
36,4077,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,20412,23041,25282,28332,31285,33962,37515,40146,43762,47580,52683,56275,60662,66533,80021,93510,106998,120486,133974,147462,160950,174439,187927,201415,214903,228391,241879,259122,276365,293607,310850,328092,345335,362578,379820,397063,414306,439404,464502,489600,514698,539797,564895,589993,615091,640190,665288,690386,715484,740582
38,3912,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,18597,20932,22864,25605,28431,30656,33605,35675,38539,41170,44668,46966,50414,54428,63065,71702,80340,88977,97614,106251,114888,123526,132163,140800,149437,158074,166712,177361,188010,198659,209308,219958,230607,241256,251905,262554,273203,287758,302312,316867,331421,345976,360530,375085,389639,404193,418748,433302,447857,462411
40,3755,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,16875,18944,20601,23094,25847,27719,30181,31875,34209,36074,38561,40090,42870,45765,51873,57982,64090,70198,76307,82415,88523,94631,100740,106848,112956,119065,125173,132486,139800,147113,154427,161740,169054,176367,183680,190994,198307,207760,217213,226666,236119,245572,255025,264478,273930,283383,292836,302289,311742,321195
42,3606,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,15239,17068,18481,20774,23497,25093,27161,28607,30562,31927,33756,34808,37089,39267,43882,48496,53110,57724,62338,66953,71567,76181,80795,85409,90023,94638,99252,104626,109999,115373,120747,126120,131494,136868,142241,147615,152989,159596,166203,172810,179417,186024,192631,199238,205845,212452,219059,225666,232273,238880
44,3465,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,13683,15295,16490,18624,21351,22731,24477,25767,27450,28489,29880,30626,32522,34217,37871,41525,45179,48833,52488,56142,59796,63450,67104,70758,74412,78066,81720,85856,89992,94127,98263,102398,106534,110670,114805,118941,123076,127937,132797,137658,142518,147378,152239,157099,161960,166820,171680,176541,181401,186261
46,3331,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,12202,13616,14617,16628,19383,20595,22076,23278,24764,25592,26687,27234,28824,30181,33180,36179,39177,42176,45174,48173,51172,54170,57169,60167,63166,66164,69163,72454,75745,79036,82327,85617,88908,92199,95490,98781,102072,105784,109496,113209,116921,120633,124346,128058,131770,135482,139195,142907,146619,150332
48,3204,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,10790,12024,12852,14769,17573,18656,19916,21077,22422,23119,24012,24428,25770,26884,29414,31944,34474,37004,39534,42064,44594,47124,49654,52184,54714,57244,59774,62459,65144,67829,70514,73199,75883,78568,81253,83938,86623,89541,92458,95376,98293,101211,104128,107046,109964,112881,115799,118716,121634,124551
49,3142,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,10109,11259,12007,13887,16722,17751,18915,20070,21360,22013,22832,23199,24434,25451,27795,30139,32484,34828,37172,39516,41860,44204,46548,48892,51237,53581,55925,58368,60812,63255,65698,68142,70585,73029,75472,77915,80359,82968,85577,88186,90795,93404,96013,98622,101231,103840,106449,109058,111667,114276
50,3082,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,9443,10513,11186,13034,15903,16886,17963,19119,20362,20983,21740,22069,23205,24139,26322,28505,30687,32870,35053,37236,39419,41601,43784,45967,48150,50333,52516,54749,56981,59214,61447,63680,65913,68146,70379,72612,74845,77190,79535,81879,84224,86569,88913,91258,93603,95947,98292,100637,102982,105326
51,3023,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,9786,10387,12209,15115,16059,17055,18218,19423,20021,20727,21025,22071,22932,24974,27016,29058,31100,33142,35184,37226,39267,41309,43351,45393,47435,49477,51525,53573,55622,57670,59718,61767,63815,65863,67911,69960,72076,74193,76309,78426,80542,82659,84775,86892,89009,91125,93242,95358,97475
52,2966,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,9077,9611,11411,14356,15266,16189,17364,18537,19121,19785,20058,21021,21820,23737,25655,27573,29491,31409,33327,35245,37163,39081,40999,42917,44835,46753,48638,50523,52408,54294,56179,58064,59949,61834,63720,65605,67523,69441,71359,73277,75196,77114,79032,80950,82868,84786,86705,88623,90541
53,2910,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,10638,13625,14506,15361,16554,17700,18276,18907,19160,20046,20790,22598,24406,26215,28023,29831,31640,33448,35257,37065,38873,40682,42490,44298,46039,47779,49519,51259,53000,54740,56480,58220,59961,61701,63446,65190,66935,68680,70424,72169,73914,75658,77403,79148,80892,82637,84382
54,2855,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,9889,12921,13776,14570,15784,16909,17482,18087,18324,19139,19834,21545,23256,24967,26678,28389,30100,31811,33522,35233,36944,38655,40366,42077,43687,45298,46909,48519,50130,51741,53352,54962,56573,58184,59776,61368,62960,64552,66144,67736,69328,70920,72512,74104,75696,77288,78880
55,2802,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,9163,12241,13076,13812,15051,16159,16734,17318,17543,18293,18945,20569,22193,23817,25441,27065,28689,30313,31937,33561,35185,36809,38433,40057,41551,43045,44540,46034,47529,49023,50517,52012,53506,55001,56458,57915,59372,60829,62286,63743,65200,66657,68114,69571,71028,72485,73942
56,2750,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,11585,12403,13087,14353,15447,16029,16597,16813,17501,18115,19661,21207,22753,24299,25845,27391,28937,30483,32029,33575,35121,36667,38213,39602,40992,42381,43771,45160,46549,47939,49328,50718,52107,53444,54781,56118,57455,58792,60129,61466,62803,64140,65477,66814,68151,69488
57,2698,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,10951,11755,12391,13687,14771,15363,15918,16128,16759,17339,18815,20291,21767,23242,24718,26194,27669,29145,30621,32096,33572,35048,36524,37818,39112,40407,41701,42995,44290,45584,46878,48173,49467,50697,51927,53157,54387,55616,56846,58076,59306,60536,61766,62995,64225,65455
58,2648,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,10338,11132,11723,13052,14127,14732,15279,15485,16063,16613,18025,19437,20849,22261,23674,25086,26498,27910,29322,30734,32147,33559,34971,36179,37387,38594,39802,41010,42218,43426,44634,45842,47049,48183,49317,50451,51585,52718,53852,54986,56120,57254,58387,59521,60655,61789
59,2599,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,9745,10532,11082,12444,13515,14135,14676,14879,15407,15930,17285,18639,19994,21348,22703,24057,25412,26767,28121,29476,30830,32185,33539,34668,35797,36926,38055,39184,40312,41441,42570,43699,44828,45875,46923,47970,49017,50065,51112,52159,53207,54254,55301,56349,57396,58443
60,2551,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,9172,9953,10466,11863,12931,13568,14106,14308,14789,15288,16591,17893,19195,20497,21799,23101,24403,25705,27007,28309,29611,30913,32215,33272,34328,35385,36441,37498,38554,39611,40667,41724,42780,43750,44719,45688,46657,47627,48596,49565,50534,51503,52473,53442,54411,55380
61,2504,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,9395,9873,11306,12373,13029,13567,13769,14206,14684,15938,17192,18446,19700,20954,22208,23462,24717,25971,27225,28479,29733,30987,31977,32967,33957,34947,35937,36927,37918,38908,39898,40888,41786,42685,43583,44481,45380,46278,47177,48075,48974,49872,50770,51669,52567
62,2458,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,9302,10773,11840,12517,13055,13259,13654,14113,15323,16533,17743,18953,20164,21374,22584,23794,25005,26215,27425,28635,29846,30774,31703,32632,33561,34490,35418,36347,37276,38205,39133,39967,40801,41636,42470,43304,44138,44972,45806,46640,47474,48308,49142,49976
63,2413,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,10261,11331,12028,12569,12776,13131,13573,14743,15912,17082,18252,19422,20592,21762,22932,24102,25272,26442,27612,28782,29654,30526,31398,32270,33143,34015,34887,35759,36631,37503,38279,39054,39829,40605,41380,42155,42931,43706,44481,45257,46032,46808,47583
64,2369,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,9769,10843,11563,12108,12318,12636,13061,14194,15327,16460,17593,18726,19858,20991,22124,23257,24390,25523,26655,27788,28608,29428,30247,31067,31886,32706,33526,34345,35165,35985,36706,37428,38150,38871,39593,40315,41037,41758,42480,43202,43923,44645,45367
65,2325,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,9297,10375,11118,11668,11882,12165,12576,13675,14774,15872,16971,18069,19168,20267,21365,22464,23562,24661,25760,26858,27629,28400,29171,29942,30713,31484,32255,33025,33796,34567,35240,35912,36585,37257,37930,38602,39274,39947,40619,41292,41964,42637,43309
66,2283,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,9927,10693,11249,11468,11717,12116,13183,14250,15317,16384,17451,18518,19585,20651,21718,22785,23852,24919,25986,26712,27437,28163,28888,29614,30339,31065,31790,32516,33241,33868,34496,35123,35750,36377,37004,37632,38259,38886,39513,40141,40768,41395
67,2241,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,9496,10287,10850,11074,11291,11678,12716,13753,14791,15829,16866,17904,18941,19979,21016,22054,23092,24129,25167,25850,26533,27216,27899,28582,29266,29949,30632,31315,31998,32584,33169,33755,34340,34926,35511,36097,36682,37268,37853,38439,39024,39610
68,2201,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,9082,9898,10468,10697,10885,11261,12272,13282,14292,15303,16313,17323,18334,19344,20354,21365,22375,23385,24395,25039,25683,26326,26970,27613,28257,28900,29544,30187,30831,31378,31925,32472,33019,33566,34113,34660,35207,35754,36301,36848,37395,37942
69,2161,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,9525,10104,10338,10497,10864,11849,12834,13819,14804,15789,16774,17759,18744,19729,20713,21698,22683,23668,24275,24881,25488,26094,26700,27307,27913,28520,29126,29733,30244,30755,31267,31778,32290,32801,33313,33824,34335,34847,35358,35870,36381
70,2121,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,9167,9755,9995,10127,10485,11446,12408,13369,14330,15291,16253,17214,18175,19136,20098,21059,22020,22982,23553,24125,24696,25268,25840,26411,26983,27555,28126,28698,29176,29655,30133,30611,31090,31568,32046,32525,33003,33482,33960,34438,34917
71,2083,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,9420,9667,9772,10123,11062,12001,12941,13880,14819,15758,16697,17636,18575,19515,20454,21393,22332,22871,23410,23949,24488,25027,25565,26104,26643,27182,27721,28169,28616,29064,29512,29960,30407,30855,31303,31750,32198,32646,33093,33541
72,2045,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,9100,9353,9433,9777,10695,11614,12532,13451,14369,15288,16206,17125,18043,18962,19880,20799,21717,22225,22733,23241,23749,24257,24765,25274,25782,26290,26798,27217,27636,28055,28474,28893,29313,29732,30151,30570,30989,31408,31827,32246
73,2008,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,9052,9108,9445,10345,11244,12143,13042,13941,14840,15739,16638,17537,18436,19335,20235,21134,21613,22092,22571,23050,23529,24008,24487,24966,25445,25924,26316,26709,27101,27494,27886,28279,28671,29064,29456,29849,30241,30634,31026
74,1972,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,9128,10009,10890,11771,12652,13532,14413,15294,16175,17056,17937,18818,19699,20580,21031,21483,21934,22386,22838,23289,23741,24192,24644,25095,25463,25831,26198,26566,26933,27301,27669,28036,28404,28772,29139,29507,29875
75,1936,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8824,9687,10551,11415,12279,13143,14006,14870,15734,16598,17462,18325,19189,20053,20479,20904,21330,21755,22181,22607,23032,23458,23883,24309,24653,24998,25342,25686,26031,26375,26720,27064,27408,27753,28097,28442,28786
76,1901,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8531,9379,10227,11075,11922,12770,13618,14465,15313,16161,17009,17856,18704,19552,19953,20354,20755,21156,21557,21958,22359,22760,23161,23562,23884,24207,24529,24852,25175,25497,25820,26142,26465,26788,27110,27433,27755
77,1866,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8251,9083,9916,10748,11581,12414,13246,14079,14911,15744,16576,17409,18241,19074,19452,19829,20207,20585,20962,21340,21718,22095,22473,22850,23153,23455,23757,24059,24361,24664,24966,25268,25570,25872,26174,26477,26779
78,1833,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,7981,8799,9618,10436,11254,12072,12890,13709,14527,15345,16163,16982,17800,18618,18974,19329,19685,20040,20396,20751,21107,21462,21818,22173,22456,22739,23022,23305,23588,23871,24154,24437,24720,25003,25286,25569,25852
79,1799,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,7722,8526,9331,10136,10940,11745,12550,13355,14159,14964,15769,16573,17378,18183,18517,18852,19186,19521,19855,20190,20524,20858,21193,21527,21792,22057,22322,22587,22852,23117,23382,23647,23912,24177,24442,24707,24971
80,1767,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,7472,8264,9056,9847,10639,11431,12223,13015,13807,14599,15391,16183,16975,17767,18081,18396,18710,19024,19339,19653,19968,20282,20596,20911,21159,21407,21655,21902,22150,22398,22646,22894,23142,23390,23638,23886,24134
81,1734,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,7231,8011,8791,9570,10350,11130,11910,12690,13470,14249,15029,15809,16589,17369,17664,17959,18255,18550,18845,19140,19436,19731,20026,20322,20554,20785,21017,21249,21481,21713,21945,22177,22409,22641,22873,23105,23336
82,1703,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,6999,7767,8536,9304,10072,10841,11609,12377,13146,13914,14682,15451,16219,16987,17264,17542,17819,18096,18373,18650,18927,19204,19481,19758,19975,20192,20408,20625,20842,21059,21276,21492,21709,21926,22143,22359,22576
83,1672,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,6775,7533,8290,9047,9805,10562,11320,12077,12835,13592,14350,15107,15864,16622,16882,17141,17401,17661,17920,18180,18440,18699,18959,19219,19421,19624,19826,20029,20231,20434,20636,20839,21041,21244,21446,21648,21851
84,1641,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,6559,7306,8053,8800,9547,10295,11042,11789,12536,13283,14030,14777,15524,16271,16514,16757,17000,17244,17487,17730,17973,18216,18459,18702,18891,19080,19269,19458,19647,19836,20025,20213,20402,20591,20780,20969,21158
85,1611,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,6350,7088,7825,8562,9299,10037,10774,11511,12248,12986,13723,14460,15197,15935,16162,16389,16616,16843,17070,17298,17525,17752,17979,18206,18382,18559,18735,18911,19087,19263,19439,19615,19791,19968,20144,20320,20496
86,1582,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,6149,6877,7605,8332,9060,9788,10516,11244,11972,12700,13427,14155,14883,15611,15823,16035,16247,16459,16671,16883,17095,17307,17519,17731,17895,18059,18223,18387,18551,18715,18878,19042,19206,19370,19534,19698,19862
87,1553,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,5954,6673,7392,8111,8830,9548,10267,10986,11705,12424,13143,13862,14581,15300,15497,15695,15892,16089,16287,16484,16682,16879,17076,17274,17426,17579,17731,17884,18036,18188,18341,18493,18646,18798,18951,19103,19256
