BveTs Vehicle Performance Table 1.00,,,,,
#,f,,,,
73,49.9,53189,64359.9,73353.3,73621.1
74,48.2,53189,63645.8,72547.7,72824.1
75,46.6,53189,62949.1,71761.6,72046.3
76,45.1,53189,62269.2,70994.3,71286.9
77,43.6,53189,61605.2,70245,70545.3
78,42.3,53189,60956.9,69513.2,69820.8
79,40.9,52945.2,60323.4,68798.1,69112.9
80,39.7,52395.3,59704.4,68099.3,68420.9
81,38.4,51857.9,59099.3,67416.1,67744.3
82,37.3,51332.4,58507.7,66748,67082.6
83,36.2,50818.6,57929,66094.6,66435.2
84,35.1,50315.9,57362.9,65455.2,65801.7
85,34.1,49824.1,56808.9,64829.5,65181.7
86,33.1,49342.8,56266.7,64217,64574.6
87,32.2,48871.6,55735.8,63617.2,63980.1
88,31.3,48410.2,55215.9,63029.8,63397.8
89,30.4,47958.3,54706.7,62048.4,62418.9
90,29.5,47515.6,54207.7,60805,61176.1
91,28.7,47081.8,53718.8,59599.9,59971.3
92,28,46656.6,53239.5,58431.4,58803.1
93,27.2,46239.8,52769.6,57298.1,57669.8
94,26.5,45831.2,52308.9,56198.6,56570.2
95,25.8,45430.4,51856.9,55131.5,55502.9
96,25.1,45037.3,51413.6,54095.5,54466.5
97,24.5,44651.6,50978.5,53089.4,53460
98,23.9,44273.1,50551.6,52112,52482.1
99,23.3,43901.6,50132.5,51162.3,51531.7
100,22.7,43536.9,49721,50239.2,50607.9
101,22.1,43178.8,49317,49341.7,49709.5
102,21.6,42827.1,48920.2,48468.8,48835.7
103,21.1,42481.7,48371.1,47619.6,47985.6
104,20.6,42142.4,47528,46793.3,47158.3
105,20.1,41809,46707.4,45989.1,46352.9
106,19.6,41481.4,45908.5,45206.1,45568.8
107,19.2,41159.4,45130.6,44443.6,44805.1
108,18.7,40842.8,44373,43700.9,44061.1
109,18.3,40531.5,43634.9,42977.3,43336.2
110,17.9,40225.5,42915.6,42272,42629.6
111,17.5,39924.5,42214.5,41584.6,41940.8
112,17.1,39628.4,41531.1,40914.4,41269.2
113,16.7,39337.1,40864.6,40260.8,40614.1
114,16.4,39050.5,40214.5,39623.3,39975.1
115,16,38768.4,39580.4,39001.3,39351.6
116,15.7,38350.6,38961.6,38394.3,38743
117,15.3,37752.9,38357.6,37801.9,38149
118,15,37169.5,37768.1,37223.5,37569.1
119,14.7,36599.9,37192.4,36658.7,37002.7
120,14.4,36043.7,36630.3,36107.2,36449.5
121,14.1,35500.4,36081.2,35568.4,35909.1
122,13.8,34969.7,35544.7,35042,35381
123,13.5,34451.2,35020.5,34527.5,34864.9
124,13.3,33944.4,34508.2,34024.7,34360.5
125,13,33449.2,34007.4,33533.2,33867.3
126,12.7,32964.9,33517.8,33052.6,33385
127,12.5,32491.5,33039,32582.6,32913.3
128,12.2,32028.5,32570.7,32122.9,32451.9
129,12,31575.6,32112.7,31673.2,32000.5
130,11.8,31132.5,31664.5,31233.2,31558.8
131,11.6,30699,31226,30802.6,31126.5
132,11.3,30274.7,30796.8,30381.1,30703.3
133,11.1,29859.5,30376.7,29968.6,30289
134,10.9,29452.9,29965.3,29564.6,29883.4
135,10.7,29054.9,29562.6,29169.1,29486.1
136,10.5,28665.2,29168.2,28781.7,29097
137,10.3,28283.4,28781.8,28402.2,28715.8
138,10.1,27909.5,28403.4,28030.4,28342.3
139,10,27543.1,28032.6,27666.2,27976.4
140,9.8,27184.2,27669.2,27309.2,27617.7
141,9.6,26832.4,27313.1,26959.3,27266.1
142,9.4,26487.6,26964,26616.4,26921.5
143,9.3,26149.6,26621.9,26280.1,26583.6
144,9.1,25818.3,26286.3,25950.4,26252.2
145,9,25493.4,25957.3,25627.1,25927.2
146,8.8,25174.7,25634.7,25310,25608.4
147,8.7,24862.2,25318.2,24998.9,25295.7
148,8.5,24555.7,25007.7,24693.8,24988.9
149,8.4,24254.9,24703.1,24394.3,24687.8
150,8.2,23959.8,24404.2,24100.5,24392.4
