BveTs Vehicle Performance Table 1.00,,,,,
#,fMax,,,,
134,11,29750.4,30268,29863.3,30185.2
135,10.8,29348.4,29861.2,29463.7,29783.9
136,10.6,28954.7,29462.8,29072.4,29390.9
137,10.4,28569.1,29072.6,28689.1,29005.9
138,10.3,28191.4,28690.3,28313.6,28628.6
139,10.1,27821.3,28315.7,27945.6,28259
140,9.9,27458.8,27948.7,27585.1,27896.7
141,9.7,27103.4,27589,27231.6,27541.6
142,9.5,26755.2,27236.4,26885.2,27193.4
143,9.4,26413.8,26890.8,26545.6,26852.1
144,9.2,26079.1,26551.9,26212.5,26517.4
145,9.1,25750.9,26219.5,25886,26189.1
146,8.9,25429,25893.6,25565.6,25867.1
147,8.8,25113.3,25573.9,25251.4,25551.2
148,8.6,24803.7,25260.3,24943.2,25241.3
149,8.5,24499.9,24952.6,24640.7,24937.2
150,8.3,24201.8,24650.7,24343.9,24638.7
